Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,Contentions,Contentions %,Blocked Time,Blocked Time %,
"Process",0,12648,"Banka_Otomasyon_Sistemi.exe","1.678,66","70.551,56","68.872,90",0,"0,00","0,00","0,00",
"Thread",1,13864,"COM+_Entry_Point","1.839,85","70.068,06","68.228,21",0,"0,00","0,00","0,00",
"Thread",2,10356,"[clr.dll]","1.862,21","70.060,62","68.198,41",0,"0,00","0,00","0,00",
"Thread",3,13876,"Unknown","2.303,10","2.303,46","0,35",0,"0,00","0,00","0,00",
"Thread",4,8124,"[ntdll.dll]","31.862,46","70.060,85","38.198,39",0,"0,00","0,00","0,00",
"Thread",5,1128,"[ntdll.dll]","31.863,00","70.060,66","38.197,66",0,"0,00","0,00","0,00",
"Thread",6,14248,"[combase.dll]","55.750,77","55.751,42","0,65",0,"0,00","0,00","0,00",
"Thread",7,8368,"[combase.dll]","55.752,00","70.060,74","14.308,74",0,"0,00","0,00","0,00",
"Thread",8,14024,"[ntdll.dll]","61.669,44","61.669,49","0,05",0,"0,00","0,00","0,00",
"Thread",9,1976,"[ntdll.dll]","61.669,44","61.669,49","0,05",0,"0,00","0,00","0,00",
"Thread",10,5652,"[ntdll.dll]","61.669,43","61.669,49","0,06",0,"0,00","0,00","0,00",
"Thread",11,9884,"[clr.dll]","69.949,91","70.060,62","110,71",0,"0,00","0,00","0,00",
